,,symbol address,word address,RA,UCA,LCA,PAGE,mod 8
0,0,0x0,0x0,0,0,0,0,0
4,1,0x4,0x1,0,0,2,0,1
8,2,0x8,0x2,0,0,4,0,2
12,3,0xC,0x3,0,0,6,0,3
16,4,0x10,0x4,0,1,0,0,4
20,5,0x14,0x5,0,1,2,0,5
24,6,0x18,0x6,0,1,4,0,6
28,7,0x1C,0x7,0,1,6,0,7
32,8,0x20,0x8,0,2,0,1,0
36,9,0x24,0x9,0,2,2,1,1
40,10,0x28,0xA,0,2,4,1,2
44,11,0x2C,0xB,0,2,6,1,3
48,12,0x30,0xC,0,3,0,1,4
52,13,0x34,0xD,0,3,2,1,5
56,14,0x38,0xE,0,3,4,1,6
60,15,0x3C,0xF,0,3,6,1,7
64,16,0x40,0x10,0,4,0,2,0
68,17,0x44,0x11,0,4,2,2,1
72,18,0x48,0x12,0,4,4,2,2
76,19,0x4C,0x13,0,4,6,2,3
80,20,0x50,0x14,0,5,0,2,4
84,21,0x54,0x15,0,5,2,2,5
88,22,0x58,0x16,0,5,4,2,6
92,23,0x5C,0x17,0,5,6,2,7
96,24,0x60,0x18,0,6,0,3,0
100,25,0x64,0x19,0,6,2,3,1
104,26,0x68,0x1A,0,6,4,3,2
108,27,0x6C,0x1B,0,6,6,3,3
112,28,0x70,0x1C,0,7,0,3,4
116,29,0x74,0x1D,0,7,2,3,5
120,30,0x78,0x1E,0,7,4,3,6
124,31,0x7C,0x1F,0,7,6,3,7
128,32,0x80,0x20,0,8,0,4,0
132,33,0x84,0x21,0,8,2,4,1
136,34,0x88,0x22,0,8,4,4,2
140,35,0x8C,0x23,0,8,6,4,3
144,36,0x90,0x24,0,9,0,4,4
148,37,0x94,0x25,0,9,2,4,5
152,38,0x98,0x26,0,9,4,4,6
156,39,0x9C,0x27,0,9,6,4,7
160,40,0xA0,0x28,0,10,0,5,0
164,41,0xA4,0x29,0,10,2,5,1
168,42,0xA8,0x2A,0,10,4,5,2
172,43,0xAC,0x2B,0,10,6,5,3
176,44,0xB0,0x2C,0,11,0,5,4
180,45,0xB4,0x2D,0,11,2,5,5
184,46,0xB8,0x2E,0,11,4,5,6
188,47,0xBC,0x2F,0,11,6,5,7
192,48,0xC0,0x30,0,12,0,6,0
196,49,0xC4,0x31,0,12,2,6,1
200,50,0xC8,0x32,0,12,4,6,2
204,51,0xCC,0x33,0,12,6,6,3
208,52,0xD0,0x34,0,13,0,6,4
212,53,0xD4,0x35,0,13,2,6,5
216,54,0xD8,0x36,0,13,4,6,6
220,55,0xDC,0x37,0,13,6,6,7
224,56,0xE0,0x38,0,14,0,7,0
228,57,0xE4,0x39,0,14,2,7,1
232,58,0xE8,0x3A,0,14,4,7,2
236,59,0xEC,0x3B,0,14,6,7,3
240,60,0xF0,0x3C,0,15,0,7,4
244,61,0xF4,0x3D,0,15,2,7,5
248,62,0xF8,0x3E,0,15,4,7,6
252,63,0xFC,0x3F,0,15,6,7,7
256,64,0x100,0x40,0,16,0,8,0
260,65,0x104,0x41,0,16,2,8,1
264,66,0x108,0x42,0,16,4,8,2
268,67,0x10C,0x43,0,16,6,8,3
272,68,0x110,0x44,0,17,0,8,4
276,69,0x114,0x45,0,17,2,8,5
280,70,0x118,0x46,0,17,4,8,6
284,71,0x11C,0x47,0,17,6,8,7
288,72,0x120,0x48,0,18,0,9,0
292,73,0x124,0x49,0,18,2,9,1
296,74,0x128,0x4A,0,18,4,9,2
300,75,0x12C,0x4B,0,18,6,9,3
304,76,0x130,0x4C,0,19,0,9,4
308,77,0x134,0x4D,0,19,2,9,5
312,78,0x138,0x4E,0,19,4,9,6
316,79,0x13C,0x4F,0,19,6,9,7
320,80,0x140,0x50,0,20,0,10,0
324,81,0x144,0x51,0,20,2,10,1
328,82,0x148,0x52,0,20,4,10,2
332,83,0x14C,0x53,0,20,6,10,3
336,84,0x150,0x54,0,21,0,10,4
340,85,0x154,0x55,0,21,2,10,5
344,86,0x158,0x56,0,21,4,10,6
348,87,0x15C,0x57,0,21,6,10,7
352,88,0x160,0x58,0,22,0,11,0
356,89,0x164,0x59,0,22,2,11,1
360,90,0x168,0x5A,0,22,4,11,2
364,91,0x16C,0x5B,0,22,6,11,3
368,92,0x170,0x5C,0,23,0,11,4
372,93,0x174,0x5D,0,23,2,11,5
